concurso,data,numeros,numeros_str,arrecadacao,ganhadores_20,ganhadores_19,ganhadores_18,ganhadores_17,ganhadores_16,ganhadores_0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20
1099,2006-11-30,"[3, 5, 6, 17, 19, 25, 26, 28, 44, 53, 54, 64, 72, 79, 81, 83, 88, 89, 96, 99]",03-05-06-17-19-25-26-28-44-53-54-64-72-79-81-83-88-89-96-99,18258591,0,5,82,1481,12372,3,3,5,6,17,19,25,26,28,44,53,54,64,72,79,81,83,88,89,96,99
1100,2006-12-02,"[11, 14, 18, 31, 35, 37, 43, 46, 47, 51, 54, 56, 57, 59, 62, 70, 71, 79, 83, 86]",11-14-18-31-35-37-43-46-47-51-54-56-57-59-62-70-71-79-83-86,16113256,3,14,183,1755,14575,6,11,14,18,31,35,37,43,46,47,51,54,56,57,59,62,70,71,79,83,86
1101,2006-12-05,"[2, 3, 11, 12, 13, 21, 25, 26, 33, 46, 47, 53, 61, 64, 67, 81, 85, 93, 98, 99]",02-03-11-12-13-21-25-26-33-46-47-53-61-64-67-81-85-93-98-99,19272924,2,43,84,779,10882,8,2,3,11,12,13,21,25,26,33,46,47,53,61,64,67,81,85,93,98,99
1102,2006-12-07,"[0, 2, 4, 11, 21, 26, 28, 32, 35, 39, 51, 52, 54, 62, 63, 64, 71, 79, 94, 95]",00-02-04-11-21-26-28-32-35-39-51-52-54-62-63-64-71-79-94-95,7139617,3,46,196,799,7821,3,0,2,4,11,21,26,28,32,35,39,51,52,54,62,63,64,71,79,94,95
1103,2006-12-09,"[0, 6, 8, 17, 27, 30, 31, 34, 41, 44, 47, 58, 62, 73, 80, 83, 91, 92, 97, 98]",00-06-08-17-27-30-31-34-41-44-47-58-62-73-80-83-91-92-97-98,17372929,1,23,113,531,12631,5,0,6,8,17,27,30,31,34,41,44,47,58,62,73,80,83,91,92,97,98
1104,2006-12-11,"[8, 13, 17, 19, 22, 34, 37, 39, 54, 60, 63, 66, 68, 73, 77, 80, 81, 87, 88, 97]",08-13-17-19-22-34-37-39-54-60-63-66-68-73-77-80-81-87-88-97,8939842,3,23,220,1287,9007,10,8,13,17,19,22,34,37,39,54,60,63,66,68,73,77,80,81,87,88,97
1105,2006-12-14,"[6, 7, 9, 13, 16, 28, 29, 34, 40, 44, 46, 47, 49, 60, 62, 65, 70, 76, 89, 90]",06-07-09-13-16-28-29-34-40-44-46-47-49-60-62-65-70-76-89-90,14230280,3,49,189,642,14219,5,6,7,9,13,16,28,29,34,40,44,46,47,49,60,62,65,70,76,89,90
1106,2006-12-16,"[1, 5, 16, 19, 23, 32, 40, 46, 47, 48, 57, 59, 75, 76, 78, 86, 89, 91, 94, 95]",01-05-16-19-23-32-40-46-47-48-57-59-75-76-78-86-89-91-94-95,8045712,0,38,252,1862,10110,6,1,5,16,19,23,32,40,46,47,48,57,59,75,76,78,86,89,91,94,95
1107,2006-12-18,"[2, 7, 8, 27, 32, 35, 48, 51, 53, 54, 62, 63, 69, 74, 77, 83, 91, 97, 98, 99]",02-07-08-27-32-35-48-51-53-54-62-63-69-74-77-83-91-97-98-99,12916192,0,46,91,549,12964,3,2,7,8,27,32,35,48,51,53,54,62,63,69,74,77,83,91,97,98,99
1108,2006-12-21,"[0, 5, 15, 19, 27, 38, 41, 44, 50, 52, 62, 76, 79, 80, 85, 87, 88, 91, 92, 98]",00-05-15-19-27-38-41-44-50-52-62-76-79-80-85-87-88-91-92-98,15926953,1,14,89,1282,7205,8,0,5,15,19,27,38,41,44,50,52,62,76,79,80,85,87,88,91,92,98
1109,2006-12-23,"[1, 5, 8, 22, 25, 28, 32, 35, 39, 40, 42, 71, 75, 77, 79, 80, 86, 89, 90, 92]",01-05-08-22-25-28-32-35-39-40-42-71-75-77-79-80-86-89-90-92,8291787,2,42,159,876,12765,5,1,5,8,22,25,28,32,35,39,40,42,71,75,77,79,80,86,89,90,92
1110,2006-12-25,"[4, 9, 11, 24, 26, 27, 33, 38, 43, 44, 50, 62, 73, 79, 83, 86, 89, 94, 96, 98]",04-09-11-24-26-27-33-38-43-44-50-62-73-79-83-86-89-94-96-98,17817895,1,7,90,1629,8904,9,4,9,11,24,26,27,33,38,43,44,50,62,73,79,83,86,89,94,96,98
1111,2006-12-28,"[7, 12, 23, 36, 42, 44, 45, 48, 49, 56, 60, 65, 76, 78, 80, 81, 85, 86, 91, 93]",07-12-23-36-42-44-45-48-49-56-60-65-76-78-80-81-85-86-91-93,14653133,1,6,111,1251,5467,3,7,12,23,36,42,44,45,48,49,56,60,65,76,78,80,81,85,86,91,93
1112,2006-12-30,"[9, 21, 25, 26, 28, 29, 33, 34, 35, 43, 47, 59, 62, 68, 72, 83, 88, 91, 94, 99]",09-21-25-26-28-29-33-34-35-43-47-59-62-68-72-83-88-91-94-99,12682484,0,16,68,1135,11709,8,9,21,25,26,28,29,33,34,35,43,47,59,62,68,72,83,88,91,94,99
1113,2007-01-01,"[0, 2, 6, 7, 14, 20, 21, 22, 24, 28, 29, 48, 54, 58, 69, 74, 77, 82, 87, 96]",00-02-06-07-14-20-21-22-24-28-29-48-54-58-69-74-77-82-87-96,18399689,3,5,285,1485,6593,9,0,2,6,7,14,20,21,22,24,28,29,48,54,58,69,74,77,82,87,96
1114,2007-01-03,"[1, 3, 4, 9, 10, 18, 20, 21, 32, 52, 61, 63, 66, 67, 74, 80, 81, 85, 91, 93]",01-03-04-09-10-18-20-21-32-52-61-63-66-67-74-80-81-85-91-93,13792618,3,18,152,870,7401,4,1,3,4,9,10,18,20,21,32,52,61,63,66,67,74,80,81,85,91,93
1115,2007-01-06,"[1, 2, 3, 12, 13, 16, 24, 29, 31, 32, 38, 39, 44, 50, 54, 66, 70, 87, 96, 97]",01-02-03-12-13-16-24-29-31-32-38-39-44-50-54-66-70-87-96-97,6175401,3,39,189,1623,7139,2,1,2,3,12,13,16,24,29,31,32,38,39,44,50,54,66,70,87,96,97
1116,2007-01-08,"[0, 9, 15, 17, 19, 26, 27, 29, 30, 33, 34, 35, 43, 47, 49, 56, 65, 66, 82, 99]",00-09-15-17-19-26-27-29-30-33-34-35-43-47-49-56-65-66-82-99,18210026,3,12,141,1023,11072,4,0,9,15,17,19,26,27,29,30,33,34,35,43,47,49,56,65,66,82,99
1117,2007-01-10,"[0, 2, 5, 6, 8, 19, 21, 25, 26, 28, 39, 42, 43, 48, 54, 67, 70, 84, 89, 93]",00-02-05-06-08-19-21-25-26-28-39-42-43-48-54-67-70-84-89-93,19625709,2,50,156,900,13493,8,0,2,5,6,8,19,21,25,26,28,39,42,43,48,54,67,70,84,89,93
1118,2007-01-13,"[0, 12, 19, 26, 30, 38, 40, 47, 52, 54, 67, 70, 75, 76, 83, 89, 92, 93, 94, 97]",00-12-19-26-30-38-40-47-52-54-67-70-75-76-83-89-92-93-94-97,11511032,2,32,240,1393,6669,7,0,12,19,26,30,38,40,47,52,54,67,70,75,76,83,89,92,93,94,97
1119,2007-01-15,"[8, 10, 12, 15, 17, 20, 27, 35, 40, 41, 42, 45, 47, 49, 71, 75, 80, 85, 90, 93]",08-10-12-15-17-20-27-35-40-41-42-45-47-49-71-75-80-85-90-93,11994052,3,16,258,781,11338,9,8,10,12,15,17,20,27,35,40,41,42,45,47,49,71,75,80,85,90,93
1120,2007-01-17,"[8, 10, 16, 18, 22, 29, 30, 36, 45, 48, 53, 57, 58, 69, 70, 76, 84, 94, 95, 96]",08-10-16-18-22-29-30-36-45-48-53-57-58-69-70-76-84-94-95-96,15758534,1,39,130,1937,9863,7,8,10,16,18,22,29,30,36,45,48,53,57,58,69,70,76,84,94,95,96
1121,2007-01-20,"[4, 15, 24, 38, 43, 44, 46, 53, 54, 55, 56, 57, 61, 66, 71, 74, 77, 83, 96, 98]",04-15-24-38-43-44-46-53-54-55-56-57-61-66-71-74-77-83-96-98,18169456,3,21,237,1997,8086,9,4,15,24,38,43,44,46,53,54,55,56,57,61,66,71,74,77,83,96,98
1122,2007-01-22,"[6, 8, 14, 18, 22, 32, 35, 37, 38, 44, 48, 50, 54, 63, 66, 72, 74, 80, 86, 95]",06-08-14-18-22-32-35-37-38-44-48-50-54-63-66-72-74-80-86-95,15719413,2,11,236,514,9440,9,6,8,14,18,22,32,35,37,38,44,48,50,54,63,66,72,74,80,86,95
1123,2007-01-24,"[8, 13, 19, 27, 30, 32, 36, 40, 41, 42, 52, 56, 60, 70, 77, 79, 81, 86, 87, 88]",08-13-19-27-30-32-36-40-41-42-52-56-60-70-77-79-81-86-87-88,8162733,3,6,112,1642,11009,2,8,13,19,27,30,32,36,40,41,42,52,56,60,70,77,79,81,86,87,88
1124,2007-01-26,"[16, 18, 19, 31, 38, 46, 51, 53, 54, 60, 61, 63, 64, 66, 68, 72, 74, 79, 92, 95]",16-18-19-31-38-46-51-53-54-60-61-63-64-66-68-72-74-79-92-95,6753229,1,45,154,747,13922,3,16,18,19,31,38,46,51,53,54,60,61,63,64,66,68,72,74,79,92,95
1125,2007-01-29,"[14, 19, 34, 38, 39, 42, 43, 53, 57, 59, 60, 65, 68, 78, 82, 83, 85, 88, 89, 90]",14-19-34-38-39-42-43-53-57-59-60-65-68-78-82-83-85-88-89-90,11460785,3,10,51,1873,5916,4,14,19,34,38,39,42,43,53,57,59,60,65,68,78,82,83,85,88,89,90
1126,2007-01-31,"[1, 7, 13, 17, 31, 34, 47, 50, 53, 64, 65, 66, 72, 73, 74, 75, 79, 89, 98, 99]",01-07-13-17-31-34-47-50-53-64-65-66-72-73-74-75-79-89-98-99,13729325,1,34,146,1245,5332,2,1,7,13,17,31,34,47,50,53,64,65,66,72,73,74,75,79,89,98,99
1127,2007-02-02,"[0, 7, 9, 13, 15, 16, 21, 32, 34, 38, 51, 54, 62, 64, 65, 68, 72, 81, 86, 98]",00-07-09-13-15-16-21-32-34-38-51-54-62-64-65-68-72-81-86-98,11539229,1,28,116,848,14883,6,0,7,9,13,15,16,21,32,34,38,51,54,62,64,65,68,72,81,86,98
1128,2007-02-05,"[3, 5, 7, 8, 9, 14, 31, 38, 48, 49, 55, 68, 73, 76, 80, 82, 90, 92, 95, 97]",03-05-07-08-09-14-31-38-48-49-55-68-73-76-80-82-90-92-95-97,13338693,3,44,126,609,6652,6,3,5,7,8,9,14,31,38,48,49,55,68,73,76,80,82,90,92,95,97
1129,2007-02-07,"[3, 7, 9, 13, 15, 16, 17, 20, 29, 31, 33, 45, 52, 56, 66, 69, 74, 80, 83, 95]",03-07-09-13-15-16-17-20-29-31-33-45-52-56-66-69-74-80-83-95,7693518,2,25,152,1395,12047,10,3,7,9,13,15,16,17,20,29,31,33,45,52,56,66,69,74,80,83,95
1130,2007-02-09,"[5, 7, 9, 18, 26, 28, 33, 37, 39, 40, 49, 51, 66, 78, 81, 82, 84, 88, 91, 93]",05-07-09-18-26-28-33-37-39-40-49-51-66-78-81-82-84-88-91-93,9762349,0,26,150,1957,11145,3,5,7,9,18,26,28,33,37,39,40,49,51,66,78,81,82,84,88,91,93
1131,2007-02-12,"[5, 8, 11, 15, 16, 17, 20, 21, 28, 33, 40, 43, 49, 61, 77, 80, 84, 90, 94, 98]",05-08-11-15-16-17-20-21-28-33-40-43-49-61-77-80-84-90-94-98,18226676,3,19,239,1710,10576,6,5,8,11,15,16,17,20,21,28,33,40,43,49,61,77,80,84,90,94,98
1132,2007-02-14,"[4, 17, 26, 27, 32, 33, 39, 41, 42, 46, 47, 54, 65, 67, 68, 75, 79, 85, 89, 91]",04-17-26-27-32-33-39-41-42-46-47-54-65-67-68-75-79-85-89-91,7403926,0,31,127,597,9789,8,4,17,26,27,32,33,39,41,42,46,47,54,65,67,68,75,79,85,89,91
1133,2007-02-16,"[3, 12, 13, 14, 17, 19, 26, 27, 49, 50, 52, 56, 67, 72, 76, 82, 86, 89, 91, 96]",03-12-13-14-17-19-26-27-49-50-52-56-67-72-76-82-86-89-91-96,5181069,2,44,259,839,13938,8,3,12,13,14,17,19,26,27,49,50,52,56,67,72,76,82,86,89,91,96
1134,2007-02-18,"[4, 11, 15, 17, 19, 21, 35, 50, 51, 55, 61, 62, 64, 68, 76, 78, 87, 89, 96, 97]",04-11-15-17-19-21-35-50-51-55-61-62-64-68-76-78-87-89-96-97,19787384,0,13,52,577,8141,7,4,11,15,17,19,21,35,50,51,55,61,62,64,68,76,78,87,89,96,97
1135,2007-02-21,"[6, 7, 13, 17, 22, 43, 44, 49, 51, 53, 54, 57, 64, 71, 81, 84, 88, 89, 96, 99]",06-07-13-17-22-43-44-49-51-53-54-57-64-71-81-84-88-89-96-99,9267627,0,28,293,1310,10951,3,6,7,13,17,22,43,44,49,51,53,54,57,64,71,81,84,88,89,96,99
1136,2007-02-23,"[3, 9, 11, 12, 17, 19, 29, 36, 37, 44, 67, 68, 72, 80, 81, 82, 85, 92, 97, 98]",03-09-11-12-17-19-29-36-37-44-67-68-72-80-81-82-85-92-97-98,10153411,0,8,220,1174,14073,9,3,9,11,12,17,19,29,36,37,44,67,68,72,80,81,82,85,92,97,98
1137,2007-02-25,"[6, 10, 13, 28, 38, 44, 46, 52, 54, 60, 61, 64, 67, 69, 76, 81, 84, 90, 91, 94]",06-10-13-28-38-44-46-52-54-60-61-64-67-69-76-81-84-90-91-94,10798324,3,36,213,526,10821,6,6,10,13,28,38,44,46,52,54,60,61,64,67,69,76,81,84,90,91,94
1138,2007-02-28,"[9, 12, 13, 15, 17, 19, 41, 43, 47, 50, 56, 57, 64, 70, 78, 83, 90, 93, 94, 96]",09-12-13-15-17-19-41-43-47-50-56-57-64-70-78-83-90-93-94-96,12909125,3,12,87,1310,12884,10,9,12,13,15,17,19,41,43,47,50,56,57,64,70,78,83,90,93,94,96
1139,2007-03-02,"[0, 15, 21, 22, 27, 36, 42, 45, 47, 48, 51, 52, 64, 67, 72, 74, 79, 94, 96, 97]",00-15-21-22-27-36-42-45-47-48-51-52-64-67-72-74-79-94-96-97,16249201,1,10,171,1287,6111,10,0,15,21,22,27,36,42,45,47,48,51,52,64,67,72,74,79,94,96,97
1140,2007-03-04,"[13, 20, 23, 24, 26, 28, 29, 32, 36, 38, 48, 51, 57, 59, 75, 79, 81, 83, 94, 95]",13-20-23-24-26-28-29-32-36-38-48-51-57-59-75-79-81-83-94-95,16275883,3,27,106,1104,13268,8,13,20,23,24,26,28,29,32,36,38,48,51,57,59,75,79,81,83,94,95
1141,2007-03-07,"[0, 11, 14, 16, 18, 21, 26, 31, 32, 36, 40, 41, 51, 60, 61, 64, 66, 76, 91, 92]",00-11-14-16-18-21-26-31-32-36-40-41-51-60-61-64-66-76-91-92,15722298,0,39,169,1976,6848,2,0,11,14,16,18,21,26,31,32,36,40,41,51,60,61,64,66,76,91,92
1142,2007-03-09,"[8, 16, 20, 24, 26, 27, 30, 48, 64, 65, 66, 69, 70, 71, 81, 85, 86, 96, 97, 98]",08-16-20-24-26-27-30-48-64-65-66-69-70-71-81-85-86-96-97-98,13279292,2,16,80,1474,5658,4,8,16,20,24,26,27,30,48,64,65,66,69,70,71,81,85,86,96,97,98
1143,2007-03-11,"[3, 12, 17, 28, 29, 31, 33, 36, 38, 53, 62, 74, 75, 77, 79, 80, 88, 89, 92, 94]",03-12-17-28-29-31-33-36-38-53-62-74-75-77-79-80-88-89-92-94,7814769,2,33,102,1872,11409,7,3,12,17,28,29,31,33,36,38,53,62,74,75,77,79,80,88,89,92,94
1144,2007-03-13,"[0, 9, 10, 18, 25, 26, 27, 28, 32, 33, 35, 50, 59, 67, 79, 88, 89, 92, 93, 95]",00-09-10-18-25-26-27-28-32-33-35-50-59-67-79-88-89-92-93-95,6054396,1,50,244,1488,12257,6,0,9,10,18,25,26,27,28,32,33,35,50,59,67,79,88,89,92,93,95
1145,2007-03-16,"[4, 6, 9, 21, 25, 36, 39, 47, 49, 55, 59, 63, 64, 65, 73, 75, 84, 91, 94, 99]",04-06-09-21-25-36-39-47-49-55-59-63-64-65-73-75-84-91-94-99,7478324,3,28,288,1917,6443,2,4,6,9,21,25,36,39,47,49,55,59,63,64,65,73,75,84,91,94,99
1146,2007-03-18,"[0, 1, 9, 19, 21, 22, 25, 26, 27, 40, 41, 45, 50, 53, 57, 59, 63, 69, 87, 99]",00-01-09-19-21-22-25-26-27-40-41-45-50-53-57-59-63-69-87-99,19918531,2,26,171,1096,8815,2,0,1,9,19,21,22,25,26,27,40,41,45,50,53,57,59,63,69,87,99
1147,2007-03-20,"[4, 5, 6, 13, 18, 23, 25, 30, 37, 38, 51, 55, 57, 61, 67, 72, 76, 81, 83, 87]",04-05-06-13-18-23-25-30-37-38-51-55-57-61-67-72-76-81-83-87,7108759,2,27,129,704,7926,4,4,5,6,13,18,23,25,30,37,38,51,55,57,61,67,72,76,81,83,87
1148,2007-03-23,"[1, 3, 4, 6, 13, 15, 19, 26, 29, 30, 32, 37, 48, 55, 63, 71, 76, 78, 86, 91]",01-03-04-06-13-15-19-26-29-30-32-37-48-55-63-71-76-78-86-91,9414364,0,42,113,1850,5403,8,1,3,4,6,13,15,19,26,29,30,32,37,48,55,63,71,76,78,86,91
1149,2007-03-25,"[13, 16, 20, 24, 25, 27, 28, 34, 41, 52, 55, 60, 63, 67, 70, 72, 73, 88, 91, 96]",13-16-20-24-25-27-28-34-41-52-55-60-63-67-70-72-73-88-91-96,15807660,2,18,286,1461,7352,6,13,16,20,24,25,27,28,34,41,52,55,60,63,67,70,72,73,88,91,96
1150,2007-03-27,"[11, 13, 18, 19, 22, 30, 36, 42, 43, 48, 52, 57, 60, 74, 77, 79, 89, 90, 94, 95]",11-13-18-19-22-30-36-42-43-48-52-57-60-74-77-79-89-90-94-95,18514231,1,6,185,849,10104,6,11,13,18,19,22,30,36,42,43,48,52,57,60,74,77,79,89,90,94,95
1151,2007-03-30,"[5, 14, 16, 20, 21, 24, 28, 30, 38, 40, 41, 48, 53, 55, 57, 58, 81, 84, 86, 87]",05-14-16-20-21-24-28-30-38-40-41-48-53-55-57-58-81-84-86-87,14343278,0,17,162,1202,14947,6,5,14,16,20,21,24,28,30,38,40,41,48,53,55,57,58,81,84,86,87
1152,2007-04-01,"[0, 1, 10, 13, 14, 20, 24, 26, 28, 36, 46, 47, 48, 51, 62, 64, 76, 81, 87, 96]",00-01-10-13-14-20-24-26-28-36-46-47-48-51-62-64-76-81-87-96,12291532,3,21,78,1837,5331,4,0,1,10,13,14,20,24,26,28,36,46,47,48,51,62,64,76,81,87,96
1153,2007-04-03,"[0, 19, 20, 23, 28, 29, 30, 32, 33, 38, 40, 43, 48, 65, 66, 73, 85, 87, 91, 94]",00-19-20-23-28-29-30-32-33-38-40-43-48-65-66-73-85-87-91-94,16504378,1,12,180,1513,7995,8,0,19,20,23,28,29,30,32,33,38,40,43,48,65,66,73,85,87,91,94
1154,2007-04-05,"[5, 9, 12, 15, 16, 19, 20, 21, 23, 24, 41, 42, 51, 53, 59, 71, 73, 80, 95, 97]",05-09-12-15-16-19-20-21-23-24-41-42-51-53-59-71-73-80-95-97,13521073,2,22,172,1925,5684,8,5,9,12,15,16,19,20,21,23,24,41,42,51,53,59,71,73,80,95,97
1155,2007-04-08,"[3, 4, 13, 16, 19, 33, 36, 40, 47, 54, 59, 62, 68, 72, 76, 78, 81, 82, 85, 86]",03-04-13-16-19-33-36-40-47-54-59-62-68-72-76-78-81-82-85-86,11034511,3,12,158,1141,9482,4,3,4,13,16,19,33,36,40,47,54,59,62,68,72,76,78,81,82,85,86
1156,2007-04-10,"[0, 2, 9, 10, 12, 21, 30, 34, 41, 42, 43, 48, 55, 56, 62, 73, 89, 91, 92, 97]",00-02-09-10-12-21-30-34-41-42-43-48-55-56-62-73-89-91-92-97,6204121,3,28,219,1121,11035,4,0,2,9,10,12,21,30,34,41,42,43,48,55,56,62,73,89,91,92,97
1157,2007-04-12,"[0, 1, 3, 8, 9, 10, 19, 28, 29, 40, 47, 49, 56, 57, 59, 65, 89, 92, 96, 97]",00-01-03-08-09-10-19-28-29-40-47-49-56-57-59-65-89-92-96-97,15527120,0,41,281,1051,14245,6,0,1,3,8,9,10,19,28,29,40,47,49,56,57,59,65,89,92,96,97
1158,2007-04-15,"[4, 5, 14, 20, 28, 29, 51, 59, 64, 66, 68, 69, 71, 78, 80, 87, 89, 92, 94, 98]",04-05-14-20-28-29-51-59-64-66-68-69-71-78-80-87-89-92-94-98,11401480,3,21,140,1926,14145,9,4,5,14,20,28,29,51,59,64,66,68,69,71,78,80,87,89,92,94,98
1159,2007-04-17,"[3, 6, 14, 16, 34, 45, 51, 57, 58, 60, 66, 67, 79, 82, 84, 85, 87, 89, 90, 98]",03-06-14-16-34-45-51-57-58-60-66-67-79-82-84-85-87-89-90-98,13229137,2,20,87,714,14300,10,3,6,14,16,34,45,51,57,58,60,66,67,79,82,84,85,87,89,90,98
1160,2007-04-19,"[1, 6, 7, 19, 22, 23, 27, 30, 32, 33, 50, 51, 52, 55, 56, 69, 74, 75, 92, 97]",01-06-07-19-22-23-27-30-32-33-50-51-52-55-56-69-74-75-92-97,15305533,3,21,166,586,13027,7,1,6,7,19,22,23,27,30,32,33,50,51,52,55,56,69,74,75,92,97
1161,2007-04-22,"[1, 5, 10, 12, 15, 22, 29, 32, 33, 35, 37, 57, 58, 59, 60, 65, 70, 72, 82, 89]",01-05-10-12-15-22-29-32-33-35-37-57-58-59-60-65-70-72-82-89,8953989,2,5,288,787,5333,2,1,5,10,12,15,22,29,32,33,35,37,57,58,59,60,65,70,72,82,89
1162,2007-04-24,"[1, 2, 4, 9, 12, 13, 23, 25, 29, 32, 34, 36, 40, 49, 62, 76, 79, 80, 87, 92]",01-02-04-09-12-13-23-25-29-32-34-36-40-49-62-76-79-80-87-92,17457032,3,27,257,1488,11074,5,1,2,4,9,12,13,23,25,29,32,34,36,40,49,62,76,79,80,87,92
1163,2007-04-26,"[0, 7, 16, 19, 23, 24, 27, 29, 31, 32, 35, 44, 52, 53, 69, 70, 79, 81, 92, 94]",00-07-16-19-23-24-27-29-31-32-35-44-52-53-69-70-79-81-92-94,6998560,1,37,264,1274,12487,4,0,7,16,19,23,24,27,29,31,32,35,44,52,53,69,70,79,81,92,94
1164,2007-04-28,"[1, 3, 19, 20, 29, 42, 43, 44, 45, 51, 61, 67, 73, 77, 82, 84, 87, 91, 96, 99]",01-03-19-20-29-42-43-44-45-51-61-67-73-77-82-84-87-91-96-99,8330065,2,31,288,992,14957,3,1,3,19,20,29,42,43,44,45,51,61,67,73,77,82,84,87,91,96,99
1165,2007-05-01,"[11, 17, 23, 30, 34, 35, 42, 46, 47, 54, 56, 57, 70, 72, 75, 77, 88, 92, 94, 97]",11-17-23-30-34-35-42-46-47-54-56-57-70-72-75-77-88-92-94-97,14704612,2,36,111,1858,12713,9,11,17,23,30,34,35,42,46,47,54,56,57,70,72,75,77,88,92,94,97
1166,2007-05-03,"[7, 12, 16, 19, 35, 40, 46, 48, 50, 51, 59, 61, 75, 76, 78, 82, 85, 87, 88, 96]",07-12-16-19-35-40-46-48-50-51-59-61-75-76-78-82-85-87-88-96,19974684,0,14,234,1340,10327,6,7,12,16,19,35,40,46,48,50,51,59,61,75,76,78,82,85,87,88,96
1167,2007-05-05,"[6, 7, 9, 12, 15, 19, 27, 29, 30, 31, 34, 47, 49, 57, 62, 64, 76, 79, 91, 96]",06-07-09-12-15-19-27-29-30-31-34-47-49-57-62-64-76-79-91-96,18374445,3,6,135,1092,11022,5,6,7,9,12,15,19,27,29,30,31,34,47,49,57,62,64,76,79,91,96
1168,2007-05-08,"[5, 11, 20, 22, 24, 25, 29, 36, 41, 43, 60, 66, 67, 71, 76, 78, 80, 81, 88, 99]",05-11-20-22-24-25-29-36-41-43-60-66-67-71-76-78-80-81-88-99,15431381,1,40,133,1390,8371,3,5,11,20,22,24,25,29,36,41,43,60,66,67,71,76,78,80,81,88,99
1169,2007-05-10,"[3, 5, 8, 13, 33, 34, 35, 47, 52, 56, 57, 59, 60, 61, 69, 70, 85, 92, 93, 95]",03-05-08-13-33-34-35-47-52-56-57-59-60-61-69-70-85-92-93-95,16902585,2,45,252,969,12075,10,3,5,8,13,33,34,35,47,52,56,57,59,60,61,69,70,85,92,93,95
1170,2007-05-12,"[5, 6, 7, 9, 10, 11, 18, 20, 21, 27, 51, 57, 58, 59, 64, 69, 75, 81, 85, 95]",05-06-07-09-10-11-18-20-21-27-51-57-58-59-64-69-75-81-85-95,13341234,0,15,51,1219,6365,4,5,6,7,9,10,11,18,20,21,27,51,57,58,59,64,69,75,81,85,95
1171,2007-05-15,"[3, 8, 10, 11, 16, 19, 32, 36, 37, 38, 50, 55, 63, 74, 81, 85, 89, 90, 92, 96]",03-08-10-11-16-19-32-36-37-38-50-55-63-74-81-85-89-90-92-96,8543990,2,34,63,1875,9281,5,3,8,10,11,16,19,32,36,37,38,50,55,63,74,81,85,89,90,92,96
1172,2007-05-17,"[8, 11, 13, 15, 21, 32, 37, 38, 41, 43, 46, 47, 49, 57, 66, 83, 84, 90, 91, 93]",08-11-13-15-21-32-37-38-41-43-46-47-49-57-66-83-84-90-91-93,10276740,3,21,220,1686,10462,6,8,11,13,15,21,32,37,38,41,43,46,47,49,57,66,83,84,90,91,93
1173,2007-05-19,"[7, 11, 14, 15, 17, 21, 24, 26, 29, 31, 32, 34, 43, 55, 66, 73, 76, 85, 86, 90]",07-11-14-15-17-21-24-26-29-31-32-34-43-55-66-73-76-85-86-90,5711369,3,36,268,1364,10040,8,7,11,14,15,17,21,24,26,29,31,32,34,43,55,66,73,76,85,86,90
1174,2007-05-21,"[5, 12, 13, 22, 25, 26, 28, 30, 33, 36, 51, 55, 60, 63, 72, 76, 81, 88, 91, 98]",05-12-13-22-25-26-28-30-33-36-51-55-60-63-72-76-81-88-91-98,19681113,2,13,216,1775,11713,10,5,12,13,22,25,26,28,30,33,36,51,55,60,63,72,76,81,88,91,98
1175,2007-05-24,"[1, 8, 12, 14, 19, 21, 25, 26, 31, 34, 37, 47, 50, 57, 80, 84, 87, 91, 97, 99]",01-08-12-14-19-21-25-26-31-34-37-47-50-57-80-84-87-91-97-99,10970846,2,22,196,1957,14404,4,1,8,12,14,19,21,25,26,31,34,37,47,50,57,80,84,87,91,97,99
1176,2007-05-26,"[9, 14, 18, 26, 28, 41, 48, 55, 57, 59, 62, 68, 73, 82, 85, 86, 92, 94, 97, 98]",09-14-18-26-28-41-48-55-57-59-62-68-73-82-85-86-92-94-97-98,8500085,3,24,53,1461,14989,7,9,14,18,26,28,41,48,55,57,59,62,68,73,82,85,86,92,94,97,98
1177,2007-05-28,"[0, 5, 11, 12, 16, 25, 30, 36, 39, 40, 41, 47, 49, 54, 64, 67, 81, 85, 98, 99]",00-05-11-12-16-25-30-36-39-40-41-47-49-54-64-67-81-85-98-99,5076533,1,48,125,1842,8126,4,0,5,11,12,16,25,30,36,39,40,41,47,49,54,64,67,81,85,98,99
1178,2007-05-31,"[0, 1, 6, 7, 9, 13, 17, 23, 24, 34, 43, 53, 54, 57, 69, 70, 79, 80, 93, 99]",00-01-06-07-09-13-17-23-24-34-43-53-54-57-69-70-79-80-93-99,16135624,3,49,149,1558,12197,7,0,1,6,7,9,13,17,23,24,34,43,53,54,57,69,70,79,80,93,99
1179,2007-06-02,"[5, 7, 19, 26, 33, 36, 45, 47, 52, 59, 68, 73, 75, 76, 79, 83, 85, 90, 94, 95]",05-07-19-26-33-36-45-47-52-59-68-73-75-76-79-83-85-90-94-95,11786604,1,41,129,683,14187,5,5,7,19,26,33,36,45,47,52,59,68,73,75,76,79,83,85,90,94,95
